CacheStrategy WorkloadLength Hits
lru 50000 90
lru 100000 191
lru 150000 283
lru 200000 379
lru 250000 488
lru 300000 574
lru 350000 701
lru 400000 860
lru 450000 885
lru 500000 1014
lru 550000 1130
lru 600000 1177
lru 650000 1275
lru 700000 1330
lru 750000 1541
lru 800000 1567
lru 850000 1801
lru 900000 1845
lru 950000 1875
lru 1000000 1976
