CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
random_replacement 10000 9997.681629984747 21162.844373132135
random_replacement 10000 7409.709875518673 23162.560183094294
random_replacement 10000 8821.954333817559 24095.969793671287
random_replacement 10000 7932.9979201769165 23944.91392208177
random_replacement 10000 8940.192595857206 24243.129848629364
random_replacement 10000 8078.769208222604 24175.525720991543
random_replacement 10000 8347.5693413525 24497.002664726962
random_replacement 10000 8353.650784892543 25487.50636018882
random_replacement 10000 8807.355616947296 25835.22987416057
random_replacement 10000 8208.05741927914 25769.080757955056
random_replacement 10000 9513.292862994364 27963.15088603758
random_replacement 10000 8061.588233670145 26454.270911437026
random_replacement 10000 8920.490203703397 26714.211355071835
random_replacement 10000 8738.732005393951 25778.740548029287
random_replacement 10000 8837.784147086193 25667.087560086733
random_replacement 10000 9071.107153144503 25970.255334077257
random_replacement 10000 9395.089476852878 28721.37114294176
random_replacement 10000 9974.071365368294 26646.223022092498
random_replacement 10000 8430.347438366383 25996.366259460057
random_replacement 10000 10038.66805855714 26561.56916569221
