CacheStrategy WorkloadLength Hits
lfu 50000 89
lfu 100000 193
lfu 150000 282
lfu 200000 379
lfu 250000 500
lfu 300000 575
lfu 350000 710
lfu 400000 859
lfu 450000 894
lfu 500000 1005
lfu 550000 1139
lfu 600000 1178
lfu 650000 1285
lfu 700000 1349
lfu 750000 1533
lfu 800000 1573
lfu 850000 1773
lfu 900000 1838
lfu 950000 1858
lfu 1000000 2006
