CacheStrategy WorkloadlLength Hits
lfu 50000 98
lfu 100000 351
lfu 150000 492
lfu 200000 673
lfu 250000 992
lfu 300000 979
lfu 350000 1240
lfu 400000 1304
lfu 450000 1392
lfu 500000 1593
lfu 550000 1780
lfu 600000 2047
lfu 650000 2250
lfu 700000 2282
lfu 750000 2460
lfu 800000 2662
lfu 850000 2710
lfu 900000 2960
lfu 950000 3199
lfu 1000000 3140
