CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
random_replacement 50000 10000 3925.0230653417643 9948.088606078754
random_replacement 100000 10000 3716.7017722254504 11151.60721036127
random_replacement 150000 10000 3752.5848987108657 11716.4374919374
random_replacement 200000 10000 3979.3133385951064 11849.746031107063
random_replacement 250000 10000 4183.16806722689 12341.087359080457
random_replacement 300000 10000 4093.0087209302324 12322.247631234297
random_replacement 350000 10000 3764.766404199475 11594.085405940934
random_replacement 400000 10000 4156.934445768772 12353.71258715155
random_replacement 450000 10000 3732.5221962616824 11759.11348921504
random_replacement 500000 10000 3793.1893004115227 11871.787260434285
random_replacement 550000 10000 3793.035238095238 11662.206002368157
random_replacement 600000 10000 3743.7973186119875 11434.772838264866
random_replacement 650000 10000 3779.9787390029323 11763.743373787456
random_replacement 700000 10000 3968.473721590909 12087.296003962256
random_replacement 750000 10000 3870.4256893073302 11677.869381026114
random_replacement 800000 10000 3962.540258143823 11833.175620919044
random_replacement 850000 10000 3693.0046756282877 11851.11218110809
random_replacement 900000 10000 3920.6366150442477 11767.431778506154
random_replacement 950000 10000 3697.477379095164 11279.23108671553
random_replacement 1000000 10000 3705.4890362060173 11788.361468840396
