CacheStrategy WorkloadLength CacheSize AverageHitTime(ns) AverageMissTime(ns)
random_replacement 50000 10000 3868.711765948458 10552.614699496695
random_replacement 100000 10000 3066.1617071926544 11252.456767487887
random_replacement 150000 10000 3013.1709949051797 11165.649930998226
random_replacement 200000 10000 4077.9608125399873 11365.585107823346
random_replacement 250000 10000 2814.118419345071 11526.792880068313
random_replacement 300000 10000 3673.04731126716 11740.815145769813
random_replacement 350000 10000 3120.5230820802603 11660.008272026838
random_replacement 400000 10000 4231.595260110674 11808.35988146908
random_replacement 450000 10000 3997.9713954340127 11505.448466407672
random_replacement 500000 10000 3658.6076302354945 11392.217803210937
random_replacement 550000 10000 3273.5381562203324 11670.931678588693
random_replacement 600000 10000 3983.0197896704835 11819.452680898534
random_replacement 650000 10000 3522.980168029301 11699.384642714227
random_replacement 700000 10000 3849.662484904341 11924.533673206348
random_replacement 750000 10000 3372.6507382392497 11910.04708168481
random_replacement 800000 10000 3611.3996360118263 11882.495173974576
random_replacement 850000 10000 4068.5578762683112 12500.463970439054
random_replacement 900000 10000 3479.2332179584273 11822.115909763304
random_replacement 950000 10000 3543.7119802049046 11855.671732061453
random_replacement 1000000 10000 3756.5686564061007 11769.334578992912
