CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
lru 10000 3873.78354978355 1346.381643191545
lru 10000 5704.605206073753 982.4696048784898
lru 10000 3858.606993006993 799.6118833104465
lru 10000 2439.480587618048 633.7031505121906
lru 10000 1794.2948402948402 674.6473054397678
lru 10000 2399.417173766058 696.09908180664
lru 10000 1438.3454231433507 677.6229918194009
lru 10000 2234.161943319838 631.234186883203
lru 10000 2322.2854553692796 888.2912193803834
lru 10000 3211.2134217713615 1079.923610427049
lru 10000 2889.339912280702 678.0816041252485
lru 10000 2921.787030941409 647.598036390926
lru 10000 2678.218380062305 650.7274509500766
lru 10000 1769.7827975673329 595.9318839934706
lru 10000 2489.9277141298417 607.7138600144172
lru 10000 2135.3619830592925 624.2103655089411
lru 10000 2276.0778888630553 556.1560933618226
lru 10000 1664.140618002687 609.3293956455032
lru 10000 1804.5933065028596 553.5710081362222
lru 10000 3278.6921991533964 586.0012984415687
