CacheStrategy WorkloadLength Hits
lru 50000 231
lru 100000 461
lru 150000 715
lru 200000 953
lru 250000 1221
lru 300000 1479
lru 350000 1737
lru 400000 1976
lru 450000 2207
lru 500000 2563
lru 550000 2736
lru 600000 3038
lru 650000 3210
lru 700000 3453
lru 750000 3666
lru 800000 4014
lru 850000 4301
lru 900000 4466
lru 950000 4721
lru 1000000 4961
