CacheStrategy WorkloadLength Hits
lru 50000 9178
lru 100000 18080
lru 150000 26862
lru 200000 37979
lru 250000 47644
lru 300000 51168
lru 350000 68150
lru 400000 72530
lru 450000 84029
lru 500000 93734
lru 550000 101347
lru 600000 108629
lru 650000 120874
lru 700000 129781
lru 750000 137495
lru 800000 145778
lru 850000 157777
lru 900000 166042
lru 950000 172882
lru 1000000 184116
