CacheStrategy WorkloadLength Hits
lru 50000 190
lru 100000 482
lru 150000 686
lru 200000 977
lru 250000 1091
lru 300000 1493
lru 350000 1708
lru 400000 1910
lru 450000 2038
lru 500000 2581
lru 550000 2867
lru 600000 2898
lru 650000 3219
lru 700000 3486
lru 750000 3796
lru 800000 3992
lru 850000 4399
lru 900000 4649
lru 950000 4647
lru 1000000 4950
