CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
second_chance 10000 210229.59589041097 926.370421631163
second_chance 10000 66414.83647798742 763.8762899028366
second_chance 10000 82689.9420289855 1039.1509610876699
second_chance 10000 49987.5076765609 778.8892640549083
second_chance 10000 139616.68256880733 641.6433891768108
second_chance 10000 136563.64477211796 626.9965729561687
second_chance 10000 59969.41617819461 800.6480186279408
second_chance 10000 50690.27981171548 694.7766147183537
second_chance 10000 59780.33759213759 546.5021686962151
second_chance 10000 58566.90546299884 612.7456671337444
second_chance 10000 99902.29554937413 676.7093236633743
second_chance 10000 57025.721379310344 726.5230296432758
second_chance 10000 80456.95093167701 554.0401001886268
second_chance 10000 67894.1962697274 616.5423458216981
second_chance 10000 67927.92005277045 654.2287586604307
second_chance 10000 66094.05321009243 512.6429408653551
second_chance 10000 64598.74391076713 465.0883389092096
second_chance 10000 58765.88460710441 550.1256853426853
second_chance 10000 59119.74062903921 625.9012628020284
second_chance 10000 67433.59709032127 521.7490932625564
