CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
second_chance 10000 19708.58254331481 1041.551331357323
second_chance 10000 9937.613550884957 458.5144409179687
second_chance 10000 10642.34409202591 440.92596923776574
second_chance 10000 12896.329576871429 353.19740650903276
second_chance 10000 12102.237647453927 491.2643878670475
second_chance 10000 13782.52989114503 333.99251299074473
second_chance 10000 12990.681677451541 395.2792275296347
second_chance 10000 12937.241107373296 435.71109238154565
second_chance 10000 12048.135497613976 363.4022854394771
second_chance 10000 11615.97415080652 346.8453887127582
second_chance 10000 14352.646652523557 355.80686942082446
second_chance 10000 13626.286800581813 303.2756617159231
second_chance 10000 15696.706117890382 397.81391353649894
second_chance 10000 14703.241352740386 302.05044377686465
second_chance 10000 15162.352821818182 313.06605387755104
second_chance 10000 15423.358231581835 326.58626608786034
second_chance 10000 14339.339217127863 471.8899818266394
second_chance 10000 18546.004661499268 452.4603336153654
second_chance 10000 13057.872855473675 307.69745135230426
second_chance 10000 15030.744015903278 314.82756435633854
