CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
second_chance 10000 313698.48484848486 1081.7073479475175
second_chance 10000 87852.04772234273 1135.172846823858
second_chance 10000 46994.07692307692 625.0525303948823
second_chance 10000 114559.86624869384 549.7960089025989
second_chance 10000 63397.881967213114 661.4282900554707
second_chance 10000 125061.90736984448 801.2545616556289
second_chance 10000 80167.4772334294 652.9147229839347
second_chance 10000 56462.99494183106 597.1386377169158
second_chance 10000 54580.27074829932 561.2917160754363
second_chance 10000 55819.26321928461 693.4975654768127
second_chance 10000 92561.43599122166 543.0118096136066
second_chance 10000 54177.77059986816 567.1783535410727
second_chance 10000 60417.50015590895 585.1058004647546
second_chance 10000 53785.37152777778 557.8858564570221
second_chance 10000 85939.60982264666 485.35928771932174
second_chance 10000 82501.48380667664 495.9962461651336
second_chance 10000 76574.3080678912 524.4256478960008
second_chance 10000 55277.73452914798 561.1993344797552
second_chance 10000 48980.414814814816 491.48190526566344
second_chance 10000 57234.93188230552 581.6582261179975
