CacheStrategy WorkloadLength Hits
lfu 50000 230
lfu 100000 455
lfu 150000 711
lfu 200000 959
lfu 250000 1235
lfu 300000 1474
lfu 350000 1731
lfu 400000 1965
lfu 450000 2221
lfu 500000 2565
lfu 550000 2764
lfu 600000 3019
lfu 650000 3198
lfu 700000 3435
lfu 750000 3704
lfu 800000 4065
lfu 850000 4180
lfu 900000 4469
lfu 950000 4662
lfu 1000000 4992
