CacheStrategy WorkloadLength Hits
lfu 50000 242
lfu 100000 901
lfu 150000 1210
lfu 200000 1743
lfu 250000 1909
lfu 300000 2566
lfu 350000 2869
lfu 400000 3293
lfu 450000 3311
lfu 500000 4287
lfu 550000 4737
lfu 600000 4756
lfu 650000 5383
lfu 700000 5844
lfu 750000 6241
lfu 800000 6650
lfu 850000 7286
lfu 900000 7647
lfu 950000 7711
lfu 1000000 8192
