CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
lfu 10000 34435.63006535947 895.33704066634
lfu 10000 3394.6877592787214 1082.630754019116
lfu 10000 2109.218003127094 603.9654290308434
lfu 10000 1704.2096115865702 588.1271655608703
lfu 10000 4567.023713092565 793.685214013551
lfu 10000 2116.2252857840745 683.4363146789913
lfu 10000 3603.934997651755 710.6000305111685
lfu 10000 1642.9271807175753 606.0159613775581
lfu 10000 1858.6011092200945 570.5713992955841
lfu 10000 2003.7597973333334 568.0804061538462
lfu 10000 1890.650849564857 560.6218288480655
lfu 10000 2057.984474364756 870.0513350198742
lfu 10000 1800.1579417678158 539.3107387661843
lfu 10000 1876.9801900094774 601.442307051526
lfu 10000 1898.8904406523225 652.1137722400175
lfu 10000 1971.5641465422611 555.1576286989484
lfu 10000 1914.7063756687544 502.9247519660698
lfu 10000 1800.096928052225 524.7472222184375
lfu 10000 1721.8501605298932 464.1302682288148
lfu 10000 1589.2883727498886 447.2935330151563
