CacheStrategy CacheSize AverageHitTime(ns) AverageMissTime(ns)
lfu 10000 130010.37391304348 1336.3826803295158
lfu 10000 88251.57802197803 1130.9673012205535
lfu 10000 86140.55555555556 846.2268084051739
lfu 10000 81535.3086548488 859.7745389140931
lfu 10000 82521.52955465588 804.2369826945109
lfu 10000 130122.66553595658 1407.4336473205014
lfu 10000 111117.92258809936 1046.1318205180478
lfu 10000 105498.40203562341 994.0114211061841
lfu 10000 111144.8482665466 925.3754419032604
lfu 10000 112119.18830409356 1059.266398624946
lfu 10000 124535.82054992764 1235.8443322442238
lfu 10000 113567.39350778403 1223.4936354758358
lfu 10000 78927.5559724828 729.1314699088747
lfu 10000 104928.8133915575 937.5074687932928
lfu 10000 77713.14740820734 823.3507026702541
lfu 10000 94420.78548585485 836.3336981034884
lfu 10000 75817.3976076555 691.9674753493651
lfu 10000 83656.09196688297 714.3230630765435
lfu 10000 95976.74453024453 852.3590535871825
lfu 10000 77950.20592948717 775.0975650447032
