CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
second_chance 50000 10000 160.20695119374605 341.06258943109486
second_chance 100000 10000 118.6159904805077 227.46483388381583
second_chance 150000 10000 95.82446770884911 198.5426696022214
second_chance 200000 10000 88.07690872254211 176.6693171188026
second_chance 250000 10000 85.92133007165587 163.50260295279358
second_chance 300000 10000 92.48235579072887 153.97762333149296
second_chance 350000 10000 75.27404544801264 146.8068648022298
second_chance 400000 10000 63.618831593617564 150.19959233443137
second_chance 450000 10000 63.3004150390625 140.22170452075636
second_chance 500000 10000 61.96693897270352 146.78886644527373
second_chance 550000 10000 64.10287405073518 141.88213341729937
second_chance 600000 10000 61.60376317954086 140.8477574764308
second_chance 650000 10000 54.804852650213476 137.21146524448167
second_chance 700000 10000 64.54252690948087 132.3982216106529
second_chance 750000 10000 57.72465865105655 133.01871307112987
second_chance 800000 10000 55.667437864458606 131.91507839884204
second_chance 850000 10000 54.47703882461495 130.62160136168546
second_chance 900000 10000 52.99081328694085 134.03132920113916
second_chance 950000 10000 55.901063817459125 124.9395097078262
second_chance 1000000 10000 56.40431078602806 124.33718723228264
