CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
second_chance 50000 10000 1660.911111111111 298.26165097174913
second_chance 100000 10000 1138.7277486910996 238.29751825987637
second_chance 150000 10000 937.6077738515901 183.2031299050876
second_chance 200000 10000 735.0184696569921 173.36834801949695
second_chance 250000 10000 727.7207392197125 167.01445616060084
second_chance 300000 10000 588.1951219512196 159.34496670295832
second_chance 350000 10000 532.7232524964337 150.52811201864304
second_chance 400000 10000 465.4060324825986 145.5775446086316
second_chance 450000 10000 475.6764705882353 148.37882640565022
second_chance 500000 10000 441.9506416584403 137.21141833354375
second_chance 550000 10000 452.83465959328026 138.9354089955891
second_chance 600000 10000 520.0468085106382 140.67747004550577
second_chance 650000 10000 428.6434169278997 147.54660533601347
second_chance 700000 10000 485.5263157894737 140.33548599481873
second_chance 750000 10000 413.82608695652175 135.34977467035603
second_chance 800000 10000 406.56513409961684 129.38912045328732
second_chance 850000 10000 413.34166666666664 138.1746663522754
second_chance 900000 10000 376.29430894308945 132.2037243014847
second_chance 950000 10000 366.6288 129.90328595912987
second_chance 1000000 10000 371.4156107450583 129.65637903583772
