CacheStrategy WorkloadLength CacheSize AverageHitTime AverageMissTime
second_chance 50000 10000 6647.140350877193 606.6170033838577
second_chance 100000 10000 5141.222797927461 601.0642540102398
second_chance 150000 10000 5405.867647058823 558.1736148215431
second_chance 200000 10000 3654.846560846561 545.6743795774013
second_chance 250000 10000 2707.1219081272084 414.8584354979674
second_chance 300000 10000 2630.185639229422 426.46862528345616
second_chance 350000 10000 2496.8679504814304 494.76417587388664
second_chance 400000 10000 2120.5064267352186 410.01039521870035
second_chance 450000 10000 2069.602409638554 396.65746599283125
second_chance 500000 10000 2055.2110874200425 409.9895383739896
second_chance 550000 10000 1754.196261682243 387.45099739493196
second_chance 600000 10000 1566.9542857142858 347.77536136278235
second_chance 650000 10000 1735.5044977511245 383.34571258552165
second_chance 700000 10000 1676.053545586107 385.6306679759182
second_chance 750000 10000 1535.036168787676 363.4592836139141
second_chance 800000 10000 1395.3893643031786 345.88087388709914
second_chance 850000 10000 1482.830487804878 332.4717537366212
second_chance 900000 10000 1577.532409972299 368.43527741748727
second_chance 950000 10000 1437.425763062597 341.47840606201885
second_chance 1000000 10000 1477.4683937823834 374.36927870790623
