CacheStrategy WorkloadLength Hits
fifo 50000 231
fifo 100000 461
fifo 150000 714
fifo 200000 957
fifo 250000 1221
fifo 300000 1482
fifo 350000 1736
fifo 400000 1975
fifo 450000 2204
fifo 500000 2572
fifo 550000 2734
fifo 600000 3035
fifo 650000 3203
fifo 700000 3457
fifo 750000 3672
fifo 800000 4012
fifo 850000 4299
fifo 900000 4454
fifo 950000 4724
fifo 1000000 4962
