CacheStrategy WorkloadLength Hits
fifo 50000 9175
fifo 100000 18080
fifo 150000 26861
fifo 200000 37981
fifo 250000 47640
fifo 300000 51168
fifo 350000 68151
fifo 400000 72530
fifo 450000 84033
fifo 500000 93737
fifo 550000 101343
fifo 600000 108627
fifo 650000 120876
fifo 700000 129778
fifo 750000 137499
fifo 800000 145778
fifo 850000 157774
fifo 900000 166041
fifo 950000 172882
fifo 1000000 184115
