CacheStrategy WorkloadlLength Hits
fifo 50000 90
fifo 100000 192
fifo 150000 283
fifo 200000 378
fifo 250000 487
fifo 300000 574
fifo 350000 700
fifo 400000 862
fifo 450000 885
fifo 500000 1013
fifo 550000 1131
fifo 600000 1175
fifo 650000 1275
fifo 700000 1330
fifo 750000 1542
fifo 800000 1566
fifo 850000 1801
fifo 900000 1844
fifo 950000 1876
fifo 1000000 1973
