CacheStrategy WorkloadlLength Hits
fifo 50000 51
fifo 100000 193
fifo 150000 272
fifo 200000 378
fifo 250000 567
fifo 300000 572
fifo 350000 726
fifo 400000 778
fifo 450000 834
fifo 500000 939
fifo 550000 1070
fifo 600000 1227
fifo 650000 1335
fifo 700000 1382
fifo 750000 1495
fifo 800000 1632
fifo 850000 1639
fifo 900000 1802
fifo 950000 1935
fifo 1000000 1934
