CacheStrategy WorkloadlLength Hits
fifo 50000 9466
fifo 100000 17648
fifo 150000 28275
fifo 200000 37512
fifo 250000 46193
fifo 300000 53672
fifo 350000 62622
fifo 400000 70318
fifo 450000 81919
fifo 500000 91075
fifo 550000 99024
fifo 600000 106983
fifo 650000 115236
fifo 700000 125885
fifo 750000 136151
fifo 800000 147821
fifo 850000 154980
fifo 900000 159798
fifo 950000 172587
fifo 1000000 187575
